"id","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG_percent","3P","3PA","3P_percent","2P","2PA","2P_percent","eFG_percent","FT","FTA","FT_percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"272","Saddiq Bey","SF","23","ATL","25","7","25.2","4.3","9.2","0.47","2","5","0.4","2.3","4.2","0.552","0.578","1","1.2","0.862","1.6","3.2","4.8","1.4","0.8","0","0.7","1.5","11.6"
"273","Khem Birch","C","30","TOR","20","0","8.1","1","1.6","0.594","0.1","0.1","0.5","0.9","1.5","0.6","0.609","0.2","0.3","0.8","0.4","0.9","1.3","0.4","0.3","0.3","0.4","1.2","2.2"
"274","Goga Bitadze","C","23","TOT","38","1","12","1.8","3.3","0.552","0.2","0.7","0.231","1.7","2.6","0.636","0.576","0.6","1.1","0.548","1.6","2","3.6","1","0.4","0.7","0.6","1.7","4.4"
"275","Goga Bitadze","C","23","IND","21","0","9.6","1.3","2.5","0.519","0.2","0.7","0.286","1.1","1.8","0.605","0.558","0.5","1.1","0.458","1.2","1.1","2.3","0.9","0.4","0.5","0.6","1.6","3.3"
"276","Goga Bitadze","C","23","ORL","17","1","15","2.5","4.3","0.575","0.1","0.7","0.167","2.4","3.6","0.656","0.589","0.7","1.1","0.667","2.1","3.1","5.2","1.2","0.4","0.9","0.6","1.8","5.8"
"277","Bismack Biyombo","C","30","PHO","61","14","14.3","2","3.4","0.578","0","0","0","2","3.4","0.578","0.578","0.4","1.1","0.357","1.5","2.8","4.3","0.9","0.3","1.4","0.8","1.9","4.3"
"278","Buddy Boeheim","PG","23","DET","10","0","9","0.5","2.7","0.185","0.4","2.5","0.16","0.1","0.2","0.5","0.259","0.2","0.2","1","0.2","0.4","0.6","0.4","0.2","0","0","0.6","1.6"
"279","Bogdan Bogdanovi?","SG","30","ATL","54","9","27.9","5.1","11.3","0.447","2.7","6.7","0.406","2.4","4.6","0.506","0.566","1.2","1.4","0.831","0.4","2.6","3.1","2.8","0.8","0.3","1.2","1.6","14"
"280","Bojan Bogdanovi?","PF","33","DET","59","59","32.1","7.3","14.9","0.488","2.5","6","0.411","4.8","9","0.539","0.57","4.5","5.1","0.884","0.6","3.2","3.8","2.6","0.6","0.1","2.3","1.9","21.6"
"281","Bol Bol","PF","23","ORL","70","33","21.5","3.7","6.8","0.546","0.4","1.6","0.265","3.3","5.2","0.633","0.577","1.2","1.5","0.759","1","4.8","5.8","1","0.4","1.2","1.6","1.3","9.1"
"282","Leandro Bolmaro","SG","22","UTA","14","0","4.9","0.2","1.4","0.15","0","0.3","0","0.2","1.1","0.188","0.15","0","0","0","0.3","0.2","0.5","0.5","0.2","0.1","0.5","0.7","0.4"
"283","Devin Booker","SG","26","PHO","53","53","34.6","9.9","20.1","0.494","2.1","6","0.351","7.8","14.2","0.554","0.546","5.8","6.8","0.855","0.9","3.7","4.5","5.5","1","0.3","2.7","3","27.8"
"284","Brandon Boston Jr.","SG","21","LAC","22","1","11.3","2.3","5.5","0.418","0.5","1.3","0.414","1.8","4.2","0.419","0.467","1.3","1.7","0.763","0.3","1","1.4","0.9","0.4","0","0.5","1","6.5"
"285","Chris Boucher","PF","30","TOR","76","0","20","3.4","7","0.493","0.8","2.5","0.328","2.6","4.5","0.585","0.552","1.7","2.2","0.762","2.1","3.5","5.5","0.4","0.6","0.8","0.5","1.9","9.4"
"286","James Bouknight","SG","22","CHO","34","0","15.1","2","5.7","0.358","1","3.2","0.303","1.1","2.5","0.429","0.443","0.6","0.9","0.667","0.2","1.9","2.1","1.2","0.4","0.1","0.9","1.4","5.6"
"287","Jamaree Bouyea","PG","23","TOT","5","0","14.2","1.2","2.8","0.429","0.4","1.2","0.333","0.8","1.6","0.5","0.5","0.2","0.4","0.5","0.2","1","1.2","0.8","0.8","0.4","0.8","1.2","3"
"288","Jamaree Bouyea","PG","23","MIA","4","0","16.3","1.5","3.3","0.462","0.5","1.3","0.4","1","2","0.5","0.538","0.3","0.5","0.5","0.3","1","1.3","1","1","0.5","1","1.3","3.8"
"289","Jamaree Bouyea","PG","23","WAS","1","0","6","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"290","Tony Bradley","C","25","CHI","12","0","2.8","0.5","1","0.5","0.3","0.4","0.6","0.3","0.6","0.429","0.625","0.3","0.3","1","0.1","0.8","0.9","0.1","0.1","0.1","0.1","0.2","1.6"
"291","Malaki Branham","SF","19","SAS","66","32","23.5","4.1","9.3","0.44","1.2","3.9","0.302","2.9","5.4","0.539","0.503","0.9","1.1","0.829","0.4","2.3","2.7","1.9","0.5","0.1","1.2","1.7","10.2"
